mouraID;NOME;SEXO;PORTE;CAD PETZ ID;DATA DE NASCIMENTO;PESO;FOTO;UNIDADE PETZ;CIDADE;ESTADO;IDADE (MESES);FILHOTE;ENTRADA;PERMANÊNCIA;FAIXA ETARIA
4691621;Pretão;MALE;Pequeno;7209531;2022-09-10;3.0;https://s3.amazonaws.com/petz-cdm-stg/4d46ff99-6039-4811-bed9-610a1e4d770e.jpeg;Petz Iguatemi Esplanada;VOTORANTIM;SP;25;False;2024-10-05;3;ADULTO
4656625;pudim;MALE;Pequeno;7164316;2024-06-01;2.0;https://s3.amazonaws.com/petz-cdm-stg/904a42f5-ef20-4258-a53f-e4be92ae8c34.jpeg;Petz Salvador Bonocô;SALVADOR;BA;5;True;2024-10-05;2;FILHOTE
3461041;REBECA;FEMALE;Pequeno;5902122;2021-07-10;4.0;https://s3.amazonaws.com/petz-cdm-stg/fcb94817-819e-4e76-9a73-f2fe4b0338d1.jpeg;Petz Extra Maracanã;RIO DE JANEIRO;RJ;39;False;2024-10-05;3;ADULTO
4551293;Rodriguinho;MALE;Pequeno;7030594;2023-05-20;3.0;https://s3.amazonaws.com/petz-cdm-stg/1048a23c-8a75-4812-9f89-5c1dda047e76.jpeg;Petz Protásio Alves;PORTO ALEGRE;RS;17;False;2024-10-05;1;JUNIOR
4693998;Rose;FEMALE;Pequeno;7212786;2023-08-01;4.0;https://s3.amazonaws.com/petz-cdm-stg/bfd8b541-4c5f-4727-ade1-d2d3b019994e.jpeg;Petz Salvador Bonocô;SALVADOR;BA;15;False;2024-10-05;3;JUNIOR
4692610;Sandy;FEMALE;Pequeno;7210834;2024-07-16;1.0;https://s3.amazonaws.com/petz-cdm-stg/27855531-0b64-47f0-87c9-9617070fc598.jpeg;Petz São Luis;SAO LUIS;MA;3;True;2024-10-05;0;FILHOTE
4693454;Sara;FEMALE;Pequeno;7211984;2023-09-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/c5820afb-aa15-4a3e-b5e2-1cfd9b32b7de.jpeg;Petz Congonhas;SAO PAULO;SP;14;False;2024-10-05;3;JUNIOR
4695210;Scania;FEMALE;Pequeno;7214410;2024-04-24;3.0;https://s3.amazonaws.com/petz-cdm-stg/04d9aab0-9cd9-4a81-a61e-17224a5f228c.jpeg;Petz Anália Franco;SAO PAULO;SP;6;True;2024-10-05;0;FILHOTE
4695189;SENSEI;MALE;Pequeno;7214385;2021-06-19;5.0;https://s3.amazonaws.com/petz-cdm-stg/79e7ab25-83e6-462e-9c46-496513b3f7f3.jpeg;Petz Aricanduva;SAO PAULO;SP;40;False;2024-10-05;3;ADULTO
4689826;SNOOPY;MALE;Pequeno;7207100;2024-07-12;1.0;https://s3.amazonaws.com/petz-cdm-stg/8e0bd252-54f4-4da6-81bb-f9baa665add4.jpeg;Petz Canoas;CANOAS;RS;3;True;2024-10-05;1;FILHOTE
4692612;Sofia;FEMALE;Pequeno;7210837;2024-07-16;1.0;https://s3.amazonaws.com/petz-cdm-stg/ae93ffe8-0436-4c27-a886-134f1ee20f9d.jpeg;Petz São Luis;SAO LUIS;MA;3;True;2024-10-05;0;FILHOTE
4695271;SYLVIE;FEMALE;Pequeno;7214472;2023-09-13;3.0;https://s3.amazonaws.com/petz-cdm-stg/3a82b2c7-e1f2-4b59-8d5c-aacd8be497af.jpeg;Petz Carrefour São Caetano;SAO CAETANO DO SUL;SP;13;False;2024-10-05;0;JUNIOR
4695211;Theoden;MALE;Pequeno;7214414;2021-09-03;3.0;https://s3.amazonaws.com/petz-cdm-stg/fd1f2e1e-fc08-4467-945d-2a14afc195b9.jpeg;Petz Cerro Cora;SAO PAULO;SP;38;False;2024-10-05;3;ADULTO
4685205;Tigresa;FEMALE;Pequeno;7201309;2024-03-01;2.0;https://s3.amazonaws.com/petz-cdm-stg/26d577a1-f4e9-4ef8-85f1-4fac8defc4ef.jpeg;Petz Rio Claro;RIO CLARO;SP;8;True;2024-10-05;3;FILHOTE
4687995;Vicente ;MALE;Pequeno;7204676;2022-08-17;4.0;https://s3.amazonaws.com/petz-cdm-stg/a1638104-f1ed-4f92-8d4b-fa851155efa2.jpeg;Petz Aracaju;ARACAJU;SE;26;False;2024-10-05;0;ADULTO
4685200;Zeca;MALE;Pequeno;7201298;2024-03-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/f3a0e16c-d860-4159-adc1-d4746e933e6d.jpeg;Petz Rio Claro;RIO CLARO;SP;8;True;2024-10-05;3;FILHOTE
4655494;Zoe;FEMALE;Pequeno;7162876;2024-02-20;2.0;https://s3.amazonaws.com/petz-cdm-stg/2d2fc09b-030c-470c-981d-2d2a444b1b9b.jpeg;Petz Osasco;OSASCO;SP;8;True;2024-10-05;1;FILHOTE
4700478;BALU;MALE;Pequeno;7221611;2024-06-01;2.0;https://s3.amazonaws.com/petz-cdm-stg/3f9db7b6-f61a-46bd-85fb-5be6c7b2d3f5.jpeg;Petz Salvador Bonocô;SALVADOR;BA;5;True;2024-10-12;0;FILHOTE
4698788;Barney;MALE;Pequeno;7219358;2024-07-31;2.0;https://s3.amazonaws.com/petz-cdm-stg/c16c5e77-8933-40b3-ac0f-936c859da1c9.jpeg;Petz Radial Leste;SAO PAULO;SP;3;True;2024-10-12;2;FILHOTE
4698785;Baruk;MALE;Pequeno;7219356;2024-07-31;2.0;https://s3.amazonaws.com/petz-cdm-stg/74dfd910-ee89-4ef4-955e-d5b2dd498ae5.jpeg;Petz Radial Leste;SAO PAULO;SP;3;True;2024-10-12;2;FILHOTE
4611723;BEGE;FEMALE;Pequeno;7107780;2023-03-18;3.0;https://s3.amazonaws.com/petz-cdm-stg/0ce07dfc-e0fc-49f7-b7af-9a787f04ecbb.jpeg;Petz Hortolandia;HORTOLANDIA;SP;19;False;2024-10-12;0;JUNIOR
4697712;CEBOLINHA;MALE;Pequeno;7217832;2024-08-07;1.0;https://s3.amazonaws.com/petz-cdm-stg/cd2cd562-1f73-43ad-8128-ee5f606e17a8.jpeg;Petz Ricardo Jafet 24h;SAO PAULO;SP;2;True;2024-10-12;0;FILHOTE
4697804;CHICO BENTO;MALE;Pequeno;7217952;2024-08-07;1.0;https://s3.amazonaws.com/petz-cdm-stg/11c73deb-4495-42c9-88c5-c81976340008.jpeg;Petz Ricardo Jafet 24h;SAO PAULO;SP;2;True;2024-10-12;0;FILHOTE
4552212;DUDA;FEMALE;Pequeno;7031727;2022-12-05;4.0;https://s3.amazonaws.com/petz-cdm-stg/fab9b927-aadf-445e-b0d7-7ca5a4237614.jpeg;Petz Salvador Paralela;SALVADOR;BA;23;False;2024-10-12;0;JUNIOR
4695932;Esmeralda;FEMALE;Pequeno;7215352;2024-02-17;3.0;https://s3.amazonaws.com/petz-cdm-stg/b469590b-213c-4d6d-a528-b7f6f1abe876.jpeg;Petz Canoas;CANOAS;RS;8;True;2024-10-12;2;FILHOTE
4699525;FELPUDO;MALE;Pequeno;7220370;2021-10-02;4.0;https://s3.amazonaws.com/petz-cdm-stg/1c74f814-7c62-40b9-987a-bdd43d9c5226.jpeg;Petz Carrefour São Caetano;SAO CAETANO DO SUL;SP;37;False;2024-10-12;3;ADULTO
