mouraID;NOME;SEXO;PORTE;CAD PETZ ID;DATA DE NASCIMENTO;PESO;FOTO;UNIDADE PETZ;CIDADE;ESTADO;IDADE (MESES);FILHOTE;ENTRADA
2813670;ADONIS;MALE;Pequeno;4543672;2021-03-26;0.0;https://s3.amazonaws.com/petz-cdm-stg/bcc13b3c-54e3-4208-a43b-8d64a3ba23bd.jpeg;Petz Washington Soares;FORTALEZA;CE;43;False;2024-10-05
4567484;AIMÊ;FEMALE;Pequeno;7050593;2023-11-20;3.0;https://s3.amazonaws.com/petz-cdm-stg/7c55a0fc-5ff4-456d-adb2-375197f21b7d.jpeg;Petz Aricanduva;SAO PAULO;SP;11;True;2024-10-05
2813671;AKILA;MALE;Pequeno;4543673;2021-03-26;0.0;https://s3.amazonaws.com/petz-cdm-stg/d8d04dbb-0311-45b4-a967-bd37848722e7.jpeg;Petz Washington Soares;FORTALEZA;CE;43;False;2024-10-05
4680644;Alagoas;FEMALE;Pequeno;7195572;2020-09-06;4.0;https://s3.amazonaws.com/petz-cdm-stg/c6698ab7-de79-4a6c-b14f-d2fc368f906b.jpeg;Petz Alto da Boa Vista;SAO PAULO;SP;49;False;2024-10-05
4551283;ALANA;FEMALE;Pequeno;7030583;2023-06-04;4.0;https://s3.amazonaws.com/petz-cdm-stg/c37734e3-df0b-4718-951b-8a1242f4bcd3.jpeg;Petz Marginal Tiete;SAO PAULO;SP;17;False;2024-10-05
4673231;Algodão;MALE;Pequeno;7185882;2023-09-10;3.0;https://s3.amazonaws.com/petz-cdm-stg/91dee215-e24a-4fe7-99d6-8e95518f282b.jpeg;Petz Piracicaba;PIRACICABA;SP;13;False;2024-10-05
4689005;Alice;FEMALE;Pequeno;7205967;2023-10-12;3.0;https://s3.amazonaws.com/petz-cdm-stg/74220ce2-c7c3-469d-bc12-c95a02afc8a2.jpeg;Petz Sorocaba;SOROCABA;SP;12;False;2024-10-05
4676246;Amapá;FEMALE;Pequeno;7189671;2020-09-06;3.0;https://s3.amazonaws.com/petz-cdm-stg/1355982d-beca-4ea5-a130-bf22d66382a8.jpeg;Petz Cerro Cora;SAO PAULO;SP;49;False;2024-10-05
4577155;Amelie;FEMALE;Pequeno;7062534;2024-01-01;2.0;https://s3.amazonaws.com/petz-cdm-stg/fda2108c-ea49-48ce-b59c-d1ec5b884aab.jpeg;Petz Salvador Bonocô;SALVADOR;BA;10;True;2024-10-05
3209959;ANGÉLICA;FEMALE;Pequeno;5324140;2021-10-21;2.0;https://s3.amazonaws.com/petz-cdm-stg/ba3ebcea-53db-4cae-bfa5-ab1188164f1c.jpeg;Petz Aricanduva;SAO PAULO;SP;36;False;2024-10-05
4683341;Ani;FEMALE;Pequeno;7198962;2023-09-20;3.0;https://s3.amazonaws.com/petz-cdm-stg/c916759c-eee1-45e6-9dd6-a48f65e262ad.jpeg;Petz Radial Leste;SAO PAULO;SP;13;False;2024-10-05
3918377;Apollo;MALE;Pequeno;6334125;2022-02-01;0.4;https://s3.amazonaws.com/petz-cdm-stg/4b7d809d-8c80-4ff7-b7e3-03d1ad2bdb41.jpeg;Petz Diadema;DIADEMA;SP;33;False;2024-10-05
4683592;Ariel;FEMALE;Pequeno;7199267;2024-05-20;2.0;https://s3.amazonaws.com/petz-cdm-stg/eb4e3fff-eaad-4947-af18-cce9dc96cb9f.jpeg;Petz Limão;SAO PAULO;SP;5;True;2024-10-05
4693777;Arondir;MALE;Pequeno;7212476;2024-05-27;2.0;https://s3.amazonaws.com/petz-cdm-stg/f31f787e-1ac4-49b6-a7ba-3ba49cfffc90.jpeg;Petz Augusta;SAO PAULO;SP;5;True;2024-10-05
4682537;Babi;FEMALE;Pequeno;7197871;2022-01-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/c224893f-cba4-4350-9f3f-e1745326807b.jpeg;Petz Araçatuba;ARACATUBA;SP;34;False;2024-10-05
4680651;Bahia;FEMALE;Pequeno;7195581;2022-05-06;3.0;https://s3.amazonaws.com/petz-cdm-stg/71090702-5260-4b07-af8c-b4add9b4c1db.jpeg;Petz Alto da Boa Vista;SAO PAULO;SP;29;False;2024-10-05
4524314;Batgirl;FEMALE;Pequeno;6996960;2022-11-15;3.0;https://s3.amazonaws.com/petz-cdm-stg/288cd0bf-c186-41b6-9833-6a05daf43c35.jpeg;Petz Aldeota;FORTALEZA;CE;23;False;2024-10-05
2671715;BATMAN;MALE;Pequeno;4425599;2018-02-02;0.0;https://s3.amazonaws.com/petz-cdm-stg/e85edad3-a324-491e-9e2d-54cbfeae647b.jpeg;Petz Avenida das Americas;RIO DE JANEIRO;RJ;81;False;2024-10-05
4378800;Beatrice;FEMALE;Pequeno;6819303;2023-08-26;1.0;https://s3.amazonaws.com/petz-cdm-stg/6db3e28c-bf2d-4399-9022-a8c09f476a7f.jpeg;Petz Avenida das Americas;RIO DE JANEIRO;RJ;14;False;2024-10-05
4440520;Bebel;FEMALE;Pequeno;6891913;2022-12-17;3.0;https://s3.amazonaws.com/petz-cdm-stg/7625fd38-4233-452e-ac9c-47b962dee929.jpeg;Petz Betim;BETIM;MG;22;False;2024-10-05
4660099;benicio;MALE;Pequeno;7168773;2021-02-04;4.0;https://s3.amazonaws.com/petz-cdm-stg/7af5b26a-1202-4783-bc7c-4bfc67f49656.jpeg;Petz Indaiatuba;INDAIATUBA;SP;45;False;2024-10-05
4669176;BILU;MALE;Pequeno;7180240;2019-08-10;4.0;https://s3.amazonaws.com/petz-cdm-stg/ee4a65fc-2869-42de-a4dc-439cc2b548b0.jpeg;Petz Pacaembu;SAO PAULO;SP;62;False;2024-10-05
4546132;Branquinha;FEMALE;Pequeno;7024032;2023-05-02;5.0;https://s3.amazonaws.com/petz-cdm-stg/5348b8bc-cac9-4a57-bb5d-4b7da4bb6add.jpeg;Petz Cantareira;SAO PAULO;SP;18;False;2024-10-05
4682507;Broa de Fubá;FEMALE;Pequeno;7197834;2024-05-20;1.0;https://s3.amazonaws.com/petz-cdm-stg/8615e82e-38fd-4ea0-8443-a25781705142.jpeg;Petz Bandeirantes 24h;SAO PAULO;SP;5;True;2024-10-05
4605337;Bruce;MALE;Pequeno;7099277;2022-11-19;4.0;https://s3.amazonaws.com/petz-cdm-stg/9079d8e2-df63-423f-959b-4e89a3a11646.jpeg;Petz Sorocaba;SOROCABA;SP;23;False;2024-10-05
4697432;cacau;FEMALE;Pequeno;7217462;2024-07-21;1.0;https://s3.amazonaws.com/petz-cdm-stg/b387a374-9a7d-4f05-85cd-b88a10c2f7b8.jpeg;Petz São Luis;SAO LUIS;MA;3;True;2024-10-05
4673228;Carmela;FEMALE;Pequeno;7185879;2023-09-10;4.0;https://s3.amazonaws.com/petz-cdm-stg/3bb592ca-34c9-4962-9282-7285ed873ab6.jpeg;Petz Piracicaba;PIRACICABA;SP;13;False;2024-10-05
3156110;CAROL;FEMALE;Pequeno;5185125;2018-02-03;4.0;https://s3.amazonaws.com/petz-cdm-stg/0e925539-cd2f-4c0d-86e4-5c7863d0906e.jpeg;Petz Avenida das Americas;RIO DE JANEIRO;RJ;81;False;2024-10-05
4118588;Catharina Sour;FEMALE;Pequeno;6434107;2022-10-01;0.22;https://s3.amazonaws.com/petz-cdm-stg/653ddc2d-4759-44cc-adc4-fa3d883f9e69.jpeg;Petz Gastão Vidigal;SAO PAULO;SP;25;False;2024-10-05
4695215;Cats Eye;MALE;Pequeno;7214416;2024-06-09;2.0;https://s3.amazonaws.com/petz-cdm-stg/ada74bdc-4648-4f42-b6a6-d26478606f62.jpeg;Petz Anália Franco;SAO PAULO;SP;4;True;2024-10-05
4534613;Cearazinha;FEMALE;Pequeno;7009752;2024-01-13;1.0;https://s3.amazonaws.com/petz-cdm-stg/e69a84b0-2e96-424d-bbad-8ba468a037d0.jpeg;Petz Aldeota;FORTALEZA;CE;9;True;2024-10-05
3302550;CHERRIE;FEMALE;Pequeno;5535133;2020-05-05;3.0;https://s3.amazonaws.com/petz-cdm-stg/205ebdd6-62f6-4261-b7e6-a7d5f7a88952.jpeg;Petz Diadema;DIADEMA;SP;54;False;2024-10-05
4669243;Cherry Pop ;FEMALE;Pequeno;7180322;2019-09-02;3.0;https://s3.amazonaws.com/petz-cdm-stg/a9224f96-4be5-4402-ac6a-598f1d393b81.jpeg;Petz Morumbi;SAO PAULO;SP;62;False;2024-10-05
4692323;Chikim;MALE;Pequeno;7210467;2024-04-01;1.0;https://s3.amazonaws.com/petz-cdm-stg/fe2ecb0e-65c0-4f99-9f94-4d8fc108fca1.jpeg;Petz Parque Flamboyant;GOIANIA;GO;7;True;2024-10-05
4574668;chiquinha;FEMALE;Pequeno;7059598;2023-06-17;4.0;https://s3.amazonaws.com/petz-cdm-stg/aee36a34-9613-455b-a11f-397481b945d5.jpeg;Petz Asa Norte;BRASILIA;DF;16;False;2024-10-05
4399131;Chiquinho ;MALE;Pequeno;6842552;2022-01-16;4.0;https://s3.amazonaws.com/petz-cdm-stg/7c0ccc0e-bbc4-4e52-b691-11b3304eb3e8.jpeg;Petz Torquato Tapajos;MANAUS;AM;33;False;2024-10-05
4665411;CHORÃO ;MALE;Pequeno;7175556;2023-07-18;4.0;https://s3.amazonaws.com/petz-cdm-stg/2dbfc890-7da1-4468-a926-245bdf0f2774.jpeg;Petz Cantareira;SAO PAULO;SP;15;False;2024-10-05
4675082;Cindy;FEMALE;Pequeno;7188175;2022-10-24;3.0;https://s3.amazonaws.com/petz-cdm-stg/cd742447-2ef0-4541-98f7-3d83aa2fb4e6.jpeg;Petz Aricanduva;SAO PAULO;SP;24;False;2024-10-05
4676238;Cinemark;FEMALE;Pequeno;7189658;2021-09-06;4.0;https://s3.amazonaws.com/petz-cdm-stg/4dd545c7-6385-4c65-91b8-17452813902a.jpeg;Petz Cerro Cora;SAO PAULO;SP;37;False;2024-10-05
4205103;Cinza;FEMALE;Pequeno;6556560;2022-12-10;2.0;https://s3.amazonaws.com/petz-cdm-stg/0fa7ea62-716d-466d-8901-1e1b3d1ed166.jpeg;Petz Jaguaré;SAO PAULO;SP;22;False;2024-10-05
4681596;CLARISSE;FEMALE;Pequeno;7196682;2023-09-13;4.0;https://s3.amazonaws.com/petz-cdm-stg/02701f59-21d2-45ae-9233-1a89db8a4024.jpeg;Petz Carrefour São Caetano;SAO CAETANO DO SUL;SP;13;False;2024-10-05
4669250;Cozi;FEMALE;Pequeno;7180330;2020-09-01;4.0;https://s3.amazonaws.com/petz-cdm-stg/3e5ba3a3-170c-4ee5-a823-8e4215b7e8a5.jpeg;Petz Morumbi;SAO PAULO;SP;50;False;2024-10-05
4692818;Cristal;FEMALE;Pequeno;7211153;2022-08-10;3.0;https://s3.amazonaws.com/petz-cdm-stg/46340cb2-8858-4cfb-9821-a730fc5c237f.jpeg;Petz Sorocaba;SOROCABA;SP;26;False;2024-10-05
4634944;Curau;MALE;Pequeno;7136062;2021-07-12;4.0;https://s3.amazonaws.com/petz-cdm-stg/440814a6-4891-4c69-af0d-82979ce545e8.jpeg;Petz Anália Franco;SAO PAULO;SP;39;False;2024-10-05
4676401;Dadá;FEMALE;Pequeno;7189872;2024-02-25;3.0;https://s3.amazonaws.com/petz-cdm-stg/b8d31c37-fa44-492f-bc4f-5a95f3928460.jpeg;Petz Limão;SAO PAULO;SP;8;True;2024-10-05
4134836;Dado;MALE;Pequeno;6457906;2022-01-10;4.0;https://s3.amazonaws.com/petz-cdm-stg/3ac36e57-4d3c-44eb-bdc1-154441da8d47.jpeg;Petz Teresina;TERESINA;PI;33;False;2024-10-05
4573695;Dakota;FEMALE;Pequeno;7058440;2024-02-01;2.0;https://s3.amazonaws.com/petz-cdm-stg/d8ff3ab7-af52-40c1-8c53-c3f5525f130a.jpeg;Petz Aldeota;FORTALEZA;CE;9;True;2024-10-05
4693915;Dengo ;MALE;Pequeno;7212673;2023-10-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/8dfef175-d4f1-4cb7-962a-b3ab1857058e.jpeg;Petz Bueno T63;GOIANIA;GO;13;False;2024-10-05
4679999;DINDIM;MALE;Pequeno;7194735;2024-03-20;5.0;https://s3.amazonaws.com/petz-cdm-stg/88fe6f90-a59c-4eda-8dca-5b7cb9c6325e.jpeg;Petz Santo André;SANTO ANDRE;SP;7;True;2024-10-05
4681650;Dindim;MALE;Pequeno;7196756;2024-03-01;4.0;https://s3.amazonaws.com/petz-cdm-stg/132f8d0a-9cd6-443e-aa3b-57dc3f81b153.jpeg;Petz Santo André;SANTO ANDRE;SP;8;True;2024-10-05
3612495;DINO;MALE;Pequeno;6234188;2018-01-01;6.0;https://s3.amazonaws.com/petz-cdm-stg/3090fc0d-9c3e-45ba-8c79-a7509d2b9355.jpeg;Petz Aricanduva;SAO PAULO;SP;82;False;2024-10-05
4693832;Disa;FEMALE;Pequeno;7212552;2024-04-27;2.0;https://s3.amazonaws.com/petz-cdm-stg/82a17aba-0cb2-42cf-b831-90b6330379c3.jpeg;Petz Augusta;SAO PAULO;SP;6;True;2024-10-05
4682516;Disaronrono;MALE;Pequeno;7197846;2023-12-13;3.0;https://s3.amazonaws.com/petz-cdm-stg/d54d1020-dd49-4398-8843-3804e0e4cfef.jpeg;Petz Bandeirantes 24h;SAO PAULO;SP;10;True;2024-10-05
4682511;Doce de Abóbora;FEMALE;Pequeno;7197837;2024-05-20;1.0;https://s3.amazonaws.com/petz-cdm-stg/e0abeca7-9d42-4114-ab50-1a060415bba3.jpeg;Petz Bandeirantes 24h;SAO PAULO;SP;5;True;2024-10-05
4614536;Dolly;FEMALE;Pequeno;7111303;2023-09-20;3.0;https://s3.amazonaws.com/petz-cdm-stg/99b188db-d034-43ad-ab80-81b377572046.jpeg;Petz Barra Américas;RIO DE JANEIRO;RJ;13;False;2024-10-05
4598362;Dom Juan;MALE;Pequeno;7090008;2023-10-10;4.0;https://s3.amazonaws.com/petz-cdm-stg/07187f9f-c1b2-4c9d-a79a-89981ab892f0.jpeg;Petz Indaiatuba;INDAIATUBA;SP;12;False;2024-10-05
4614516;Duque;MALE;Pequeno;7111276;2023-09-20;3.0;https://s3.amazonaws.com/petz-cdm-stg/182819b4-0a32-45d2-8575-9ed8ef856dfd.jpeg;Petz Barra Américas;RIO DE JANEIRO;RJ;13;False;2024-10-05
4220420;Duquesa;FEMALE;Pequeno;6554985;2023-02-01;0.0;https://s3.amazonaws.com/petz-cdm-stg/69605247-c60a-43a6-a4ff-e0c7fd0fa564.jpeg;Petz Diadema;DIADEMA;SP;21;False;2024-10-05
4695100;Durin;MALE;Pequeno;7214293;2023-11-27;4.0;https://s3.amazonaws.com/petz-cdm-stg/44e6a33e-1385-493e-84f8-b19bde55029c.jpeg;Petz Anália Franco;SAO PAULO;SP;11;True;2024-10-05
4687014;ELEKTRA ;FEMALE;Pequeno;7203449;2023-09-12;4.0;https://s3.amazonaws.com/petz-cdm-stg/8623278d-a764-47ff-bf5e-da12b4063d86.jpeg;Petz Bosque Maia;GUARULHOS;SP;13;False;2024-10-05
4696235;EMÍLIA ;FEMALE;Pequeno;7215765;2023-10-13;4.0;https://s3.amazonaws.com/petz-cdm-stg/88a6002f-3a46-46a9-b1a7-a99ff3539c83.jpeg;Petz Bosque Maia;GUARULHOS;SP;12;False;2024-10-05
4695206;EMILY;FEMALE;Pequeno;7214405;2023-10-28;4.0;https://s3.amazonaws.com/petz-cdm-stg/c2cc30b1-6403-4c2a-9e02-cb7827d8ae42.jpeg;Petz Aricanduva;SAO PAULO;SP;12;False;2024-10-05
4689619;Emma;FEMALE;Pequeno;7206851;2024-04-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/e4b012e3-4ee4-4387-bf88-39e6d16c24ca.jpeg;Petz Itu;ITU;SP;7;True;2024-10-05
4695216;Emmaretta;FEMALE;Pequeno;7214418;2024-07-16;2.0;https://s3.amazonaws.com/petz-cdm-stg/41ccca99-e2f9-40ce-a380-dd995989aba1.jpeg;Petz Anália Franco;SAO PAULO;SP;3;True;2024-10-05
4686345;enrico;MALE;Pequeno;7202649;2024-05-24;2.0;https://s3.amazonaws.com/petz-cdm-stg/16cb511e-4ac2-445c-8fac-c71162a2e721.jpeg;Petz Carrefour São Caetano;SAO CAETANO DO SUL;SP;5;True;2024-10-05
4369493;Fancy Feast;FEMALE;Pequeno;6809344;2023-07-10;1.0;https://s3.amazonaws.com/petz-cdm-stg/63e95f4f-34bc-4173-8702-1c55ff558b77.jpeg;Petz Morumbi;SAO PAULO;SP;15;False;2024-10-05
4691224;Filó;FEMALE;Pequeno;7209038;2022-11-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/21022264-8c5f-455d-b798-4f1969e04453.jpeg;Petz Ricardo Jafet 24h;SAO PAULO;SP;24;False;2024-10-05
