mouraID;NOME;SEXO;PORTE;CAD PETZ ID;DATA DE NASCIMENTO;PESO;FOTO;UNIDADE PETZ;CIDADE;ESTADO;IDADE (MESES);FILHOTE;ENTRADA
2813670;ADONIS;MALE;Pequeno;4543672;2021-03-26;0.0;https://s3.amazonaws.com/petz-cdm-stg/a66b8e02-0b4c-456a-a7e3-15ff39546037.jpeg;Petz Washington Soares;FORTALEZA;CE;43;False;2024-11-09
2813671;AKILA;MALE;Pequeno;4543673;2021-03-26;0.0;https://s3.amazonaws.com/petz-cdm-stg/0dfd40a4-ae89-4391-89ff-24486767f362.jpeg;Petz Washington Soares;FORTALEZA;CE;43;False;2024-11-09
4689005;Alice;FEMALE;Pequeno;7205967;2023-10-12;3.0;https://s3.amazonaws.com/petz-cdm-stg/74220ce2-c7c3-469d-bc12-c95a02afc8a2.jpeg;Petz Sorocaba;SOROCABA;SP;12;False;2024-11-09
4613592;AMABILE;FEMALE;Pequeno;7110065;2023-07-03;4.0;https://s3.amazonaws.com/petz-cdm-stg/b7e0bd5f-e8cc-4dae-ac28-a1589d72893e.jpeg;Petz Aricanduva;SAO PAULO;SP;16;False;2024-11-09
4698661;Amarelo;MALE;Pequeno;7219216;2022-10-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/128a56c8-ce79-4478-b557-a49b2df68549.jpeg;Petz Congonhas;SAO PAULO;SP;25;False;2024-11-09
4577155;Amelie;FEMALE;Pequeno;7062534;2024-01-01;2.0;https://s3.amazonaws.com/petz-cdm-stg/4dc21b55-be56-4969-b56b-13bd9c9ef186.jpeg;Petz Salvador Bonocô;SALVADOR;BA;10;True;2024-11-09
4723509;AMELY;FEMALE;Pequeno;7253556;2024-03-10;4.0;https://s3.amazonaws.com/petz-cdm-stg/eace6d24-3d82-4f85-966e-5fbf20ed45db.jpeg;Petz Salvador Paralela;SALVADOR;BA;8;True;2024-11-09
4605351;Anne;FEMALE;Pequeno;7099304;2024-03-29;1.0;https://s3.amazonaws.com/petz-cdm-stg/a082410b-954f-44e0-a134-bd78cfb2f524.jpeg;Petz Washington Soares;FORTALEZA;CE;7;True;2024-11-09
3918377;Apollo;MALE;Pequeno;6334125;2022-02-01;0.4;https://s3.amazonaws.com/petz-cdm-stg/4b7d809d-8c80-4ff7-b7e3-03d1ad2bdb41.jpeg;Petz Diadema;DIADEMA;SP;33;False;2024-11-09
4713501;Ariel;MALE;Pequeno;7239293;2024-05-05;4.0;https://s3.amazonaws.com/petz-cdm-stg/a22f1fc9-a6a8-4a7c-9306-6d1251d82ba3.jpeg;Petz Aracaju;ARACAJU;SE;6;True;2024-11-09
