mouraID;NOME;SEXO;PORTE;CAD PETZ ID;DATA DE NASCIMENTO;PESO;FOTO;UNIDADE PETZ;CIDADE;ESTADO;IDADE (MESES);FILHOTE;ENTRADA;PERMANÊNCIA
4713520;Sebastian;MALE;Pequeno;7239320;2023-10-30;2.0;https://s3.amazonaws.com/petz-cdm-stg/d963f548-152e-4535-a602-ce870baa89dd.jpeg;Petz Florianópolis;FLORIANOPOLIS;SC;12;False;;2
4716242;Sofia;FEMALE;Pequeno;7243153;2024-08-01;2.0;https://s3.amazonaws.com/petz-cdm-stg/556eac4a-6740-4cf8-8e3b-8e2a027c2e63.jpeg;Petz Washington Luís;SAO PAULO;SP;3;True;;1
4598321;Teodora;FEMALE;Pequeno;7089953;2023-11-20;0.0;https://s3.amazonaws.com/petz-cdm-stg/9f26740b-7cac-42c2-92ea-ee2fff5a8012.jpeg;Petz Washington Soares;FORTALEZA;CE;11;True;;3
4719711;Tom;MALE;Pequeno;7248126;2023-11-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/c492d527-7776-408c-8489-4f6ec55709f9.jpeg;Petz Giovanni Gronchi;SAO PAULO;SP;12;False;;3
4719725;Willicot ;MALE;Pequeno;7248143;2023-10-28;4.0;https://s3.amazonaws.com/petz-cdm-stg/725b2ea5-ca82-4812-a06b-d9056cc4b315.jpeg;Petz Bosque Maia;GUARULHOS;SP;12;False;;2
4723509;AMELY;FEMALE;Pequeno;7253556;2024-03-10;4.0;https://s3.amazonaws.com/petz-cdm-stg/eace6d24-3d82-4f85-966e-5fbf20ed45db.jpeg;Petz Salvador Paralela;SALVADOR;BA;8;True;;1
4723582;ATHENA;FEMALE;Pequeno;7253639;2024-02-03;3.0;https://s3.amazonaws.com/petz-cdm-stg/802c1f56-a9a4-440d-9e97-16051c9872bd.jpeg;Petz Maringá;MARINGA;PR;9;True;;2
4726316;BABEL;FEMALE;Pequeno;7257309;2024-01-26;4.0;https://s3.amazonaws.com/petz-cdm-stg/d5e6823b-7012-4585-ac7b-ce5a6604a5ec.jpeg;Petz Marginal Tiete;SAO PAULO;SP;9;True;;2
4723502;Batata;MALE;Pequeno;7253546;2024-07-22;1.0;https://s3.amazonaws.com/petz-cdm-stg/7be46c4f-b059-44f1-a35d-2c5a6b9f3f7f.jpeg;Petz Carrefour Manilha;SAO GONCALO;RJ;3;True;;2
4725484;BINO;MALE;Pequeno;7256209;2022-12-21;6.0;https://s3.amazonaws.com/petz-cdm-stg/546ff0bf-d579-4f47-810d-ca7403d3845b.jpeg;Petz Maringá;MARINGA;PR;22;False;;1
4723501;Bolota;MALE;Pequeno;7253543;2024-07-22;1.0;https://s3.amazonaws.com/petz-cdm-stg/38545b03-5ece-4f01-97d5-b0e93a64485e.jpeg;Petz Carrefour Manilha;SAO GONCALO;RJ;3;True;;2
4723500;Bombom;MALE;Pequeno;7253542;2024-07-22;1.0;https://s3.amazonaws.com/petz-cdm-stg/57bc0ac9-34dd-466f-bf3c-9e78ae0649b2.jpeg;Petz Carrefour Manilha;SAO GONCALO;RJ;3;True;;2
4726251;Boyer;MALE;Pequeno;7257226;2024-09-07;2.0;https://s3.amazonaws.com/petz-cdm-stg/6c8f646a-19af-4177-b026-fdd1dab969c3.jpeg;Petz Itaim;SAO PAULO;SP;2;True;;1
4727071;BRUNA;FEMALE;Pequeno;7258374;2024-08-28;2.0;https://s3.amazonaws.com/petz-cdm-stg/78b50639-0ef6-4a2b-b066-c96a0f0df95b.jpeg;Petz Boa Viagem;RECIFE;PE;2;True;;1
4720029;Carmen;FEMALE;Pequeno;7248513;2024-10-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/84e5fd8b-2488-4353-8ed6-4fcd64c59978.jpeg;Petz Sorocaba;SOROCABA;SP;1;True;;2
4719532;Carona ;MALE;Pequeno;7247903;2021-10-16;4.0;https://s3.amazonaws.com/petz-cdm-stg/bbafa8c7-e907-40d3-bfe9-7d5cfea67e42.jpeg;Petz Anália Franco;SAO PAULO;SP;36;False;;2
4719589;Celestinha ;FEMALE;Pequeno;7247978;2024-07-15;2.0;https://s3.amazonaws.com/petz-cdm-stg/9d26571f-965c-42ba-8d73-5df3068d2c56.jpeg;Petz Anália Franco;SAO PAULO;SP;3;True;;1
4726309;Cereja;FEMALE;Pequeno;7257300;2023-11-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/4554ba41-f56a-45b6-944d-d7f1bafa9207.jpeg;Petz Washington Luís;SAO PAULO;SP;12;False;;2
