mouraID;NOME;SEXO;PORTE;CAD PETZ ID;DATA DE NASCIMENTO;PESO;FOTO;UNIDADE PETZ;CIDADE;ESTADO;IDADE (MESES);FILHOTE;ENTRADA
4759780;ADELE;FEMALE;Pequeno;7302092;2023-12-10;3.0;https://s3.amazonaws.com/petz-cdm-stg/7204b932-235d-45de-a2b5-9d0d0bf6f320.jpeg;Petz Pacaembu;SAO PAULO;SP;12;False;2024-12-14
4746295;AKEMI;FEMALE;Pequeno;7283646;2023-11-07;3.0;https://s3.amazonaws.com/petz-cdm-stg/823ba395-7e5c-4bae-b1e7-947fbc39a70a.jpeg;Petz Carrefour São Caetano;SAO CAETANO DO SUL;SP;13;False;2024-12-14
4755107;Alfie;MALE;Pequeno;7295473;2024-08-29;2.0;https://s3.amazonaws.com/petz-cdm-stg/74b76c7c-2a29-4383-9842-7008f18f5935.jpeg;Petz Alto da Boa Vista;SAO PAULO;SP;3;True;2024-12-14
4740395;ALFREDO;MALE;Pequeno;7275967;2022-07-28;4.0;https://s3.amazonaws.com/petz-cdm-stg/6a49d6f4-27fe-4621-a614-d8c7e0b24fe7.jpeg;Petz Moinhos de Vento;PORTO ALEGRE;RS;28;False;2024-12-14
4689005;Alice;FEMALE;Pequeno;7205967;2023-10-12;3.0;https://s3.amazonaws.com/petz-cdm-stg/74220ce2-c7c3-469d-bc12-c95a02afc8a2.jpeg;Petz Sorocaba;SOROCABA;SP;14;False;2024-12-14
4746046;Althea;FEMALE;Pequeno;7283327;2024-07-15;3.0;https://s3.amazonaws.com/petz-cdm-stg/66275ba5-ddc7-489a-b73f-689cafe42c0f.jpeg;Petz Augusta;SAO PAULO;SP;5;True;2024-12-14
4757712;Amélia;FEMALE;Pequeno;7299367;2024-05-02;3.0;https://s3.amazonaws.com/petz-cdm-stg/786f8c50-f2bb-459d-9b5f-775761938b69.jpeg;PETZ CAMPINAS TAUSTE;SAO PAULO;SP;7;True;2024-12-14
4734968;Aninha;FEMALE;Pequeno;7268637;2024-07-10;2.0;https://s3.amazonaws.com/petz-cdm-stg/15702a6a-8d58-4b33-8945-45a1f072a3dc.jpeg;Petz Limão;SAO PAULO;SP;5;True;2024-12-14
4754016;Antonieta;FEMALE;Pequeno;7293928;2022-11-12;3.0;https://s3.amazonaws.com/petz-cdm-stg/ab2de694-c5aa-4fc4-b4c3-be2ea5c8d932.jpeg;Petz Sorocaba;SOROCABA;SP;25;False;2024-12-14
3918377;Apollo;MALE;Pequeno;6334125;2022-02-01;0.4;https://s3.amazonaws.com/petz-cdm-stg/4b7d809d-8c80-4ff7-b7e3-03d1ad2bdb41.jpeg;Petz Diadema;DIADEMA;SP;34;False;2024-12-14
4757823;April;FEMALE;Medio;7299525;2022-05-10;4.0;https://s3.amazonaws.com/petz-cdm-stg/124d66b0-34a2-4a90-bfcc-0ed4b0c7e450.jpeg;Petz João Firmino;SAO BERNARDO DO CAMPO;SP;31;False;2024-12-14
4713501;Ariel;MALE;Pequeno;7239293;2024-05-05;4.0;https://s3.amazonaws.com/petz-cdm-stg/a22f1fc9-a6a8-4a7c-9306-6d1251d82ba3.jpeg;Petz Aracaju;ARACAJU;SE;7;True;2024-12-14
4757834;Arlequina ;FEMALE;Pequeno;7299542;2021-01-20;4.0;https://s3.amazonaws.com/petz-cdm-stg/45588b14-c22c-47ba-a911-5d3cd773383c.jpeg;Petz João Firmino;SAO BERNARDO DO CAMPO;SP;46;False;2024-12-14
4739322;Atena ;FEMALE;Pequeno;7274611;2024-09-29;1.0;https://s3.amazonaws.com/petz-cdm-stg/94bc3e08-c30a-4aef-868f-69d442a0516b.jpeg;Petz Vila Isabel;RIO DE JANEIRO;RJ;2;True;2024-12-14
4752875;Awamori;FEMALE;Pequeno;7292349;2024-10-01;2.0;https://s3.amazonaws.com/petz-cdm-stg/56558337-5d38-4e2a-9154-3497e87f7b0f.jpeg;Petz Itaim;SAO PAULO;SP;2;True;2024-12-14
4757513;Ayla;FEMALE;Pequeno;7299095;2024-09-25;1.0;https://s3.amazonaws.com/petz-cdm-stg/e55c37ce-b5ac-4b89-a875-105637a5ce79.jpeg;Petz W3 Norte;BRASILIA;DF;2;True;2024-12-14
4759646;BABY;FEMALE;Pequeno;7301929;2024-09-03;2.0;https://s3.amazonaws.com/petz-cdm-stg/d67de4f8-623e-4fee-8cf5-2bf66cd975e3.jpeg;Petz Marginal Tiete;SAO PAULO;SP;3;True;2024-12-14
4759655;BAMBINA;FEMALE;Pequeno;7301939;2024-09-03;2.0;https://s3.amazonaws.com/petz-cdm-stg/262f8931-5739-4d26-8b8f-0383044bfc84.jpeg;Petz Marginal Tiete;SAO PAULO;SP;3;True;2024-12-14
4752092;Banguela;MALE;Pequeno;7291253;2024-10-01;1.0;https://s3.amazonaws.com/petz-cdm-stg/ebdcb09a-6617-4165-9460-f1ecbc330613.jpeg;Petz Balneário Camboriú;BALNEARIO CAMBORIU;SC;2;True;2024-12-14
